date,zscore,exposure,ret,equity
2016-01-04,,0.0,0.0,100000.0
2016-01-05,,0.0,0.0,100000.0
2016-01-06,,0.0,0.0,100000.0
2016-01-07,,0.0,0.0,100000.0
2016-01-08,,0.0,0.0,100000.0
2016-01-11,,0.0,0.0,100000.0
2016-01-12,,0.0,0.0,100000.0
2016-01-13,,0.0,0.0,100000.0
2016-01-14,,0.0,0.0,100000.0
2016-01-15,,0.0,0.0,100000.0
2016-01-19,,0.0,0.0,100000.0
2016-01-20,,0.0,0.0,100000.0
2016-01-21,,0.0,0.0,100000.0
2016-01-22,,0.0,0.0,100000.0
2016-01-25,,0.0,0.0,100000.0
2016-01-26,,0.0,0.0,100000.0
2016-01-27,,0.0,0.0,100000.0
2016-01-28,,0.0,0.0,100000.0
2016-01-29,,0.0,0.0,100000.0
2016-02-01,,0.0,0.0,100000.0
2016-02-02,,0.0,0.0,100000.0
2016-02-03,,0.0,0.0,100000.0
2016-02-04,,0.0,0.0,100000.0
2016-02-05,,0.0,0.0,100000.0
2016-02-08,,0.0,0.0,100000.0
2016-02-09,,0.0,0.0,100000.0
2016-02-10,,0.0,0.0,100000.0
2016-02-11,,0.0,0.0,100000.0
2016-02-12,,0.0,0.0,100000.0
2016-02-16,-0.562497759864551,0.0,0.0,100000.0
2016-02-17,-0.0917133235711154,0.0,0.0,100000.0
2016-02-18,-0.22764577956189946,0.0,0.0,100000.0
2016-02-19,-0.3659044037004266,0.0,0.0,100000.0
2016-02-22,0.5581757232476616,0.0,0.0,100000.0
2016-02-23,0.5091047443289397,0.0,0.0,100000.0
2016-02-24,0.05716514595232783,0.0,0.0,100000.0
2016-02-25,0.9108441689615612,0.0,0.0,100000.0
2016-02-26,0.2426636024633131,0.0,0.0,100000.0
2016-02-29,0.24080742933131655,0.0,0.0,100000.0
2016-03-01,0.6697469214538116,0.0,0.0,100000.0
2016-03-02,0.39635653829375167,0.0,0.0,100000.0
2016-03-03,0.03714280904023304,0.0,0.0,100000.0
2016-03-04,-0.17547230470148403,0.0,0.0,100000.0
2016-03-07,-1.1918888989994847,0.0,0.0,100000.0
2016-03-08,-1.6267667611917531,0.0,0.0,100000.0
2016-03-09,-1.640977334397569,0.0,0.0,100000.0
2016-03-10,-1.7705711381120695,0.0,0.0,100000.0
2016-03-11,-1.3078313372481412,0.0,0.0,100000.0
2016-03-14,-1.465511250586462,0.0,0.0,100000.0
2016-03-15,-1.247401990883709,0.0,0.0,100000.0
2016-03-16,-1.1017136599726665,0.0,0.0,100000.0
2016-03-17,-1.0998899677820935,0.0,0.0,100000.0
2016-03-18,-0.9293270781759424,0.0,0.0,100000.0
2016-03-21,-0.9363275687545319,0.0,0.0,100000.0
2016-03-22,-1.4182642420794676,0.0,0.0,100000.0
2016-03-23,-0.5661008141108754,0.0,0.0,100000.0
2016-03-24,-0.13358411505641754,0.0,0.0,100000.0
2016-03-28,0.2103314630860428,0.0,0.0,100000.0
2016-03-29,0.6825198230154816,0.0,0.0,100000.0
2016-03-30,1.5043023018434216,0.0,0.0,100000.0
2016-03-31,0.7265442152065693,0.0,0.0,100000.0
2016-04-01,1.048075198239573,0.0,0.0,100000.0
2016-04-04,1.6554043617764105,0.0,0.0,100000.0
2016-04-05,1.1610916152263127,0.0,0.0,100000.0
2016-04-06,1.9302901397068801,0.0,0.0,100000.0
2016-04-07,1.8302865685352396,0.0,0.0,100000.0
2016-04-08,1.960003878212434,0.0,0.0,100000.0
2016-04-11,1.784822778024612,0.0,0.0,100000.0
2016-04-12,1.9717410388183496,0.0,0.0,100000.0
2016-04-13,1.9034997117444028,0.0,0.0,100000.0
2016-04-14,1.9745391880800132,0.0,0.0,100000.0
2016-04-15,1.5068901695046273,0.0,0.0,100000.0
2016-04-18,1.8348473561766006,0.0,0.0,100000.0
2016-04-19,1.4429003235851796,0.0,0.0,100000.0
2016-04-20,1.3551052347671708,0.0,0.0,100000.0
2016-04-21,1.182894677395665,0.0,0.0,100000.0
2016-04-22,0.21407918073779775,0.0,0.0,100000.0
2016-04-25,-0.23654384216673435,0.0,0.0,100000.0
2016-04-26,-0.15031421538337975,0.0,0.0,100000.0
2016-04-27,-0.4459042633178497,0.0,0.0,100000.0
2016-04-28,-0.75226803795971,0.0,0.0,100000.0
2016-04-29,-1.0169709175610966,0.0,0.0,100000.0
2016-05-02,-0.540249167915143,0.0,0.0,100000.0
2016-05-03,-0.9652526345632442,0.0,0.0,100000.0
2016-05-04,-1.0685598830287224,0.0,0.0,100000.0
2016-05-05,-0.8766961546227414,0.0,0.0,100000.0
2016-05-06,-0.8518956866667237,0.0,0.0,100000.0
2016-05-09,-0.49697073018573673,0.0,0.0,100000.0
2016-05-10,-0.13796082326637396,0.0,0.0,100000.0
2016-05-11,-1.00660888447512,0.0,0.0,100000.0
2016-05-12,-0.266558953252757,0.0,0.0,100000.0
2016-05-13,-0.9129270258619954,0.0,0.0,100000.0
2016-05-16,-0.4509383840596542,0.0,0.0,100000.0
2016-05-17,-0.9992858500290929,0.0,0.0,100000.0
2016-05-18,-0.45299745125236346,0.0,0.0,100000.0
2016-05-19,-0.4420001175212742,0.0,0.0,100000.0
2016-05-20,-0.1158270862076746,0.0,0.0,100000.0
2016-05-23,-0.2821138422193815,0.0,0.0,100000.0
2016-05-24,0.9163496815494641,0.0,0.0,100000.0
2016-05-25,0.7014063133000878,0.0,0.0,100000.0
2016-05-26,0.7614189594949727,0.0,0.0,100000.0
2016-05-27,0.9970752232859893,0.0,0.0,100000.0
2016-05-31,1.1293579524429425,0.0,0.0,100000.0
2016-06-01,1.220225353954486,0.0,0.0,100000.0
2016-06-02,1.8155208207091404,0.0,0.0,100000.0
2016-06-03,2.313529174224854,-1.7079098886336592,0.0,100000.0
2016-06-06,2.283422345156629,-1.9555948600224986,-0.0019897322479215753,99801.02677520785
2016-06-07,2.0609714241256167,-2.0280393066898763,-0.0002964434526262967,99771.44141425496
2016-06-08,2.086430163949888,-2.024238387148441,-0.002318999477085243,99540.07149378727
2016-06-09,1.9867693885496949,-2.055602684722254,-0.0011464947034821589,99425.9493290354
2016-06-10,1.7687956044378537,-2.0875430110220097,0.0004458351851241681,99470.27691556067
2016-06-13,0.772308391269698,-1.9051347809947647,0.008974645062857521,100362.98734518199
2016-06-14,0.8836597973653598,-1.9549760813179065,-0.0016494600610705383,100197.44260594639
2016-06-15,0.8527086606485855,-1.9978560449333502,-0.0002636317199350798,100171.02738181909
2016-06-16,0.607754331162218,-1.9862663325106784,0.0018056758988930874,100351.9037917298
2016-06-17,-0.21802543428165352,0.0,0.006480357000515776,101002.21995398164
2016-06-20,-0.4808351843335939,0.0,0.0,101002.21995398164
2016-06-21,-0.8867964818736938,0.0,0.0,101002.21995398164
2016-06-22,-1.0479177337690233,0.0,0.0,101002.21995398164
2016-06-23,-0.4101679049167928,0.0,0.0,101002.21995398164
2016-06-24,-1.1299686994833489,0.0,0.0,101002.21995398164
2016-06-27,-1.468202474297445,0.0,0.0,101002.21995398164
