date,spread,ticker_a,ticker_b,beta
2016-01-04,109.31906009642336,SLB,VZ,-2.2086449428773083
2016-01-05,110.3538846663892,SLB,VZ,-2.2086449428773083
2016-01-06,108.49543732220533,SLB,VZ,-2.2086449428773083
2016-01-07,107.05676573201893,SLB,VZ,-2.2086449428773083
2016-01-08,105.67067221116405,SLB,VZ,-2.2086449428773083
2016-01-11,105.81891895600691,SLB,VZ,-2.2086449428773083
2016-01-12,105.54712673306608,SLB,VZ,-2.2086449428773083
2016-01-13,103.96204567695835,SLB,VZ,-2.2086449428773083
2016-01-14,105.42576702196905,SLB,VZ,-2.2086449428773083
2016-01-15,103.62500411119328,SLB,VZ,-2.2086449428773083
2016-01-19,104.04847226336904,SLB,VZ,-2.2086449428773083
2016-01-20,102.16824424995768,SLB,VZ,-2.2086449428773083
2016-01-21,104.31619402111465,SLB,VZ,-2.2086449428773083
2016-01-22,108.59314950633669,SLB,VZ,-2.2086449428773083
2016-01-25,107.17341369748023,SLB,VZ,-2.2086449428773083
2016-01-26,110.24085081166372,SLB,VZ,-2.2086449428773083
2016-01-27,111.40385766769231,SLB,VZ,-2.2086449428773083
2016-01-28,114.3105190214794,SLB,VZ,-2.2086449428773083
2016-01-29,117.58514029612002,SLB,VZ,-2.2086449428773083
2016-02-01,117.99827347570508,SLB,VZ,-2.2086449428773083
2016-02-02,114.96835943642296,SLB,VZ,-2.2086449428773083
2016-02-03,117.35226510017719,SLB,VZ,-2.2086449428773083
2016-02-04,116.89391124258782,SLB,VZ,-2.2086449428773083
2016-02-05,116.3052566532865,SLB,VZ,-2.2086449428773083
2016-02-08,116.72862169049216,SLB,VZ,-2.2086449428773083
2016-02-09,114.5059825333529,SLB,VZ,-2.2086449428773083
2016-02-10,114.23617812357648,SLB,VZ,-2.2086449428773083
2016-02-11,114.29422060963724,SLB,VZ,-2.2086449428773083
2016-02-12,116.6835432708479,SLB,VZ,-2.2086449428773083
2016-02-16,117.92410228691935,SLB,VZ,-2.2086449428773083
2016-02-17,118.90665807312934,SLB,VZ,-2.2086449428773083
2016-02-18,119.51517344851712,SLB,VZ,-2.2086449428773083
2016-02-19,119.55429089230714,SLB,VZ,-2.2086449428773083
2016-02-22,120.94216918528855,SLB,VZ,-2.2086449428773083
2016-02-23,118.67024927053366,SLB,VZ,-2.2086449428773083
2016-02-24,119.01081071740214,SLB,VZ,-2.2086449428773083
2016-02-25,119.48704771309352,SLB,VZ,-2.2086449428773083
2016-02-26,119.46114106702709,SLB,VZ,-2.2086449428773083
2016-02-29,118.5299984725357,SLB,VZ,-2.2086449428773083
2016-03-01,121.17375081960284,SLB,VZ,-2.2086449428773083
2016-03-02,122.31828890109561,SLB,VZ,-2.2086449428773083
2016-03-03,122.35151594572214,SLB,VZ,-2.2086449428773083
2016-03-04,122.23402654411215,SLB,VZ,-2.2086449428773083
2016-03-07,123.73874221886206,SLB,VZ,-2.2086449428773083
2016-03-08,121.47900320284846,SLB,VZ,-2.2086449428773083
2016-03-09,121.3624288509335,SLB,VZ,-2.2086449428773083
2016-03-10,121.65745639462057,SLB,VZ,-2.2086449428773083
2016-03-11,123.28397369030198,SLB,VZ,-2.2086449428773083
2016-03-14,122.13343036045843,SLB,VZ,-2.2086449428773083
2016-03-15,122.14350701902987,SLB,VZ,-2.2086449428773083
2016-03-16,122.92537427720768,SLB,VZ,-2.2086449428773083
2016-03-17,124.3513290044705,SLB,VZ,-2.2086449428773083
2016-03-18,123.09061667157707,SLB,VZ,-2.2086449428773083
2016-03-21,124.368726061702,SLB,VZ,-2.2086449428773083
2016-03-22,123.11926846690767,SLB,VZ,-2.2086449428773083
2016-03-23,122.24987875255981,SLB,VZ,-2.2086449428773083
2016-03-24,122.79991245731698,SLB,VZ,-2.2086449428773083
2016-03-28,122.758827843597,SLB,VZ,-2.2086449428773083
2016-03-29,123.74139474043332,SLB,VZ,-2.2086449428773083
2016-03-30,124.78007603777687,SLB,VZ,-2.2086449428773083
2016-03-31,124.3391703270027,SLB,VZ,-2.2086449428773083
2016-04-01,123.03385025112834,SLB,VZ,-2.2086449428773083
2016-04-04,123.94733275853471,SLB,VZ,-2.2086449428773083
2016-04-05,123.53912803203832,SLB,VZ,-2.2086449428773083
2016-04-06,123.90559056971007,SLB,VZ,-2.2086449428773083
2016-04-07,121.07849253108849,SLB,VZ,-2.2086449428773083
2016-04-08,122.68389577153093,SLB,VZ,-2.2086449428773083
2016-04-11,121.96770975683478,SLB,VZ,-2.2086449428773083
2016-04-12,123.91466208079177,SLB,VZ,-2.2086449428773083
2016-04-13,124.15573709048485,SLB,VZ,-2.2086449428773083
2016-04-14,124.08983040210946,SLB,VZ,-2.2086449428773083
2016-04-15,123.40570104180594,SLB,VZ,-2.2086449428773083
2016-04-18,124.78551211355612,SLB,VZ,-2.2086449428773083
2016-04-19,126.87219857269577,SLB,VZ,-2.2086449428773083
2016-04-20,127.53340256816315,SLB,VZ,-2.2086449428773083
2016-04-21,124.68580022639209,SLB,VZ,-2.2086449428773083
2016-04-22,125.10601888077065,SLB,VZ,-2.2086449428773083
2016-04-25,124.51305296710277,SLB,VZ,-2.2086449428773083
