date,AAPL,ABBV,AMD,BAC,C,CL,COP,COST,CVX,GOOGL,GS,HD,JNJ,JPM,KO,LOW,MA,META,MRK,MS,MSFT,NVDA,PEP,PFE,PG,SLB,T,TGT,V,VZ,WFC,WMT,XOM
2016-01-19,21.7526840903,36.0512729431,1.95,11.3169875391,30.9873746811,50.227335185,26.3462203641,126.3634791712,52.1489030931,35.6577401184,126.6135970548,93.0191502037,73.1259424156,43.3628352689,30.4004145626,57.4797268817,81.1122498143,94.5254697196,35.7125270578,19.6047993693,44.0746933403,0.6659242843,69.5122167586,18.2739349197,57.4023346672,46.5170197499,14.3232861858,50.4146706137,66.2884923082,26.0483029194,35.969896076,17.312661763,48.6144105797
2016-01-20,21.7819397176,37.467362224,1.8,10.87988479,29.9160419847,48.7898130705,25.1519548805,124.9778226242,50.530246182,35.6319543576,124.1349352581,90.4559972672,71.8134255005,42.2219081877,30.0088061689,56.3294703259,80.0868223926,93.6224865425,35.162996548,18.8433029734,44.2751913519,0.6695791926,68.0605676668,18.2560718357,57.2249582362,45.2137730966,14.0701072645,49.2132811494,65.6292286923,25.7870652035,35.7162191487,16.8366742593,46.5654786155
2016-01-21,21.6716685071,38.2606344601,2.09,10.6176231406,29.6648329386,50.0242070602,26.7153569681,126.287897905,51.8546018365,36.0341130498,122.4394337033,93.3764381888,71.955927337,42.0241474936,30.0160581762,57.3638737034,81.018173904,93.4339515935,35.4203715969,18.4998830301,44.0049549014,0.6773763302,68.5686448489,18.208436945,57.8965949609,45.5025607073,14.3357376081,49.9778017176,66.4463441599,26.628831177,35.820674354,17.1244806569,47.1508877481
2016-01-22,22.8238901349,38.5687649981,2.02,10.7765695948,30.3371865619,50.778696279,27.2654428878,129.0676089175,53.447667334,36.965871598,126.6458923225,95.3492892369,72.5634351663,43.3171981857,30.5019426646,58.3403504918,82.7868010167,97.1848047904,35.7194831402,19.1195320582,45.58278708,0.693214266,69.5702827223,18.2858436423,58.3795696842,48.2793646561,14.5847660553,50.7641657306,67.5048801065,27.3080492384,36.5742440499,17.3486375627,48.7225840064
2016-01-25,22.3783044273,38.450757558,2.12,10.2997302322,29.2215228573,50.2442664157,24.753866386,126.6238146437,51.7522361821,36.3787496602,122.0115214062,94.5337405753,72.3009317833,42.3360008958,30.5744627375,57.8438368706,81.6296673206,96.2619758293,35.4203715969,18.6491960489,45.1469218373,0.6924832843,69.6356069314,18.1608020544,57.9946992015,46.8724506553,14.5266594176,50.1816738691,66.6134814146,27.3022439558,35.5595363406,17.5589576225,47.0745300352
2016-01-26,22.5020782349,38.1950747712,2.07,10.5778865271,29.923430486,50.5586369235,25.5862332382,124.7090892332,53.8187428315,36.3871796205,124.700102443,94.9143299507,75.8859779858,43.4160785327,30.5164466792,57.9265891408,81.8460419142,96.5894312671,35.7890439642,19.0299442469,45.4781794217,0.6993057797,69.9114202588,18.262026197,59.4738092918,48.375627193,14.6926783824,51.288408406,66.7434770572,28.0104884301,36.0072015065,17.7111629289,48.8053048621
2016-01-27,21.0235438415,37.4411383485,2.13,10.6176231406,29.9677614941,50.5350591354,26.2086988842,124.0624495113,53.287720999,35.5833581162,124.1107138073,94.4250007537,76.6209874583,43.3856538106,30.5236986865,57.5542039249,79.7857794798,93.7217154631,35.0377870647,19.0523411997,44.6500354606,0.691021321,69.6356069314,18.1727107771,59.4662628117,48.5385330246,14.7258821753,51.4704371127,65.8427929622,28.4633004711,36.2384951755,17.6973260829,47.9081017349
2016-01-28,21.1743228435,36.6150862679,2.08,10.7527276267,29.8790994779,51.1009260495,27.5187719297,125.6244623461,54.9703564441,37.1067015222,126.807368661,94.9764669916,76.7034885215,43.5682021436,30.8717950365,57.2893966602,78.4875319184,108.2686752163,34.2239254235,18.9021453684,45.3779304159,0.683467844,70.7316019957,17.9821712145,60.2360037771,51.4708379945,14.7466345459,51.6888715608,64.3756992818,28.4516899059,36.4996331889,17.7720450515,48.9898360017
2016-01-29,21.9057135252,35.9922692231,2.2,11.237514312,31.4991843468,53.0736009862,28.2859970283,126.9093438715,55.3222383813,37.7538249418,130.4405862783,97.67942827,78.3310094963,45.2567742239,31.1256152916,59.3002768261,83.7557828922,111.3447717534,35.2464695368,19.4353405695,48.023632439,0.7136817522,72.0743774055,18.1548476931,61.6471955468,53.5145657008,14.9666096742,52.7300757632,69.1669672508,29.0089970332,37.4770354677,18.3642620619,49.5370662779
2016-02-01,21.7009241344,35.6579148096,2.14,11.0944625032,31.4252078688,52.0283190476,27.9385743421,127.0185168116,54.5672916797,38.2209439159,128.8984872452,98.2619630283,78.2785088197,44.7699786692,31.18363135,60.1277995281,83.3794792512,114.2025646654,35.302118196,19.3076741129,47.6923748546,0.7139254128,71.8784047781,17.9643081305,61.2170461839,52.9147760479,15.0164153637,53.0286028422,69.0648278174,29.4676143568,37.2606639708,18.6797421516,48.5444160095
