date,spread,ticker_a,ticker_b,beta,zscore,position
2016-01-04,20.771865971930204,V,MA,0.5563129026427767,,0
2016-01-05,21.20712113745033,V,MA,0.5563129026427767,,0
2016-01-06,21.03590622959591,V,MA,0.5563129026427767,,0
2016-01-07,20.556606069723145,V,MA,0.5563129026427767,,0
2016-01-08,20.62750814023034,V,MA,0.5563129026427767,,0
2016-01-11,21.23207412181468,V,MA,0.5563129026427767,,0
2016-01-12,21.56196145002302,V,MA,0.5563129026427767,,0
2016-01-13,21.1981365060021,V,MA,0.5563129026427767,,0
2016-01-14,21.052612949818663,V,MA,0.5563129026427767,,0
2016-01-15,20.270101404761803,V,MA,0.5563129026427767,,0
2016-01-19,21.16470117412075,V,MA,0.5563129026427767,,0
2016-01-20,21.07589606363617,V,MA,0.5563129026427767,,0
2016-01-21,21.374888668548493,V,MA,0.5563129026427767,,0
2016-01-22,21.44951453238965,V,MA,0.5563129026427767,,0
2016-01-25,21.20184424571281,V,MA,0.5563129026427767,,0
2016-01-26,21.211467910089038,V,MA,0.5563129026427767,,0
2016-01-27,21.456934390175967,V,MA,0.5563129026427767,,0
2016-01-28,20.712072579007312,V,MA,0.5563129026427767,,0
2016-01-29,22.572544556922,V,MA,0.5563129026427767,,0
2016-02-01,22.67974769432176,V,MA,0.5563129026427767,,0
2016-02-02,23.182840549136664,V,MA,0.5563129026427767,,0
2016-02-03,23.810197576584805,V,MA,0.5563129026427767,,0
2016-02-04,23.233489263492537,V,MA,0.5563129026427767,,0
2016-02-05,23.114795457055187,V,MA,0.5563129026427767,,0
2016-02-08,20.71848057158216,V,MA,0.5563129026427767,,0
2016-02-09,20.547632658298603,V,MA,0.5563129026427767,,0
2016-02-10,21.53627839954724,V,MA,0.5563129026427767,,0
2016-02-11,20.60435840109088,V,MA,0.5563129026427767,,0
2016-02-12,20.960081127016025,V,MA,0.5563129026427767,,0
2016-02-16,20.916358743000718,V,MA,0.5563129026427767,-0.5624977598645471,0
2016-02-17,21.37083974863308,V,MA,0.5563129026427767,-0.0917133235711154,0
2016-02-18,21.24819418090845,V,MA,0.5563129026427767,-0.22764577956189944,0
2016-02-19,21.125476924345,V,MA,0.5563129026427767,-0.3659044037004266,0
2016-02-22,22.009847726677364,V,MA,0.5563129026427767,0.5581757232476615,0
2016-02-23,22.005837581176834,V,MA,0.5563129026427767,0.5091047443289397,0
2016-02-24,21.61682921742087,V,MA,0.5563129026427767,0.05716514595232783,0
2016-02-25,22.414562757377112,V,MA,0.5563129026427767,0.9108441689615611,0
2016-02-26,21.833672967913287,V,MA,0.5563129026427767,0.2426636024633131,0
2016-02-29,21.857537329448988,V,MA,0.5563129026427767,0.24080742933131655,0
2016-03-01,22.28654024767438,V,MA,0.5563129026427767,0.6697469214538116,0
2016-03-02,22.08012778133034,V,MA,0.5563129026427767,0.39635653829375167,0
2016-03-03,21.795796676994165,V,MA,0.5563129026427767,0.03714280904023304,0
2016-03-04,21.62425273411045,V,MA,0.5563129026427767,-0.17547230470148406,0
2016-03-07,20.71665018891765,V,MA,0.5563129026427767,-1.191888898999489,0
2016-03-08,20.24746154585285,V,MA,0.5563129026427767,-1.6267667611917611,0
2016-03-09,20.13057462775697,V,MA,0.5563129026427767,-1.6409773343975693,0
2016-03-10,19.85438926997288,V,MA,0.5563129026427767,-1.7705711381120666,0
2016-03-11,20.281703424757826,V,MA,0.5563129026427767,-1.3078313372481385,0
2016-03-14,19.999681754341907,V,MA,0.5563129026427767,-1.4655112505864631,0
2016-03-15,20.13398202492612,V,MA,0.5563129026427767,-1.2474019908837106,0
2016-03-16,20.221759069090417,V,MA,0.5563129026427767,-1.1017136599726685,0
2016-03-17,20.205425757591264,V,MA,0.5563129026427767,-1.0998899677821001,0
2016-03-18,20.329825803519626,V,MA,0.5563129026427767,-0.9293270781759456,0
2016-03-21,20.29958809593965,V,MA,0.5563129026427767,-0.9363275687545409,0
2016-03-22,19.85478889968321,V,MA,0.5563129026427767,-1.4182642420794782,0
2016-03-23,20.54497481650735,V,MA,0.5563129026427767,-0.5661008141108779,0
2016-03-24,20.874092591219394,V,MA,0.5563129026427767,-0.13358411505641818,0
2016-03-28,21.16892069452289,V,MA,0.5563129026427767,0.21033146308604375,0
2016-03-29,21.57240035827165,V,MA,0.5563129026427767,0.6825198230154842,0
2016-03-30,22.335826304448368,V,MA,0.5563129026427767,1.5043023018434216,0
2016-03-31,21.69560685563271,V,MA,0.5563129026427767,0.7265442152065712,0
2016-04-01,22.011291553113075,V,MA,0.5563129026427767,1.0480751982395793,0
2016-04-04,22.66372663452476,V,MA,0.5563129026427767,1.6554043617764163,0
2016-04-05,22.229979392796515,V,MA,0.5563129026427767,1.1610916152263142,0
2016-04-06,23.074826959408604,V,MA,0.5563129026427767,1.9302901397068817,0
2016-04-07,23.13897289769212,V,MA,0.5563129026427767,1.8302865685352403,0
2016-04-08,23.410794516401157,V,MA,0.5563129026427767,1.9600038782124374,0
2016-04-11,23.383231945054305,V,MA,0.5563129026427767,1.7848227780246115,0
2016-04-12,23.829955176420142,V,MA,0.5563129026427767,1.9717410388183492,0
2016-04-13,23.945938628498222,V,MA,0.5563129026427767,1.9034997117444001,0
2016-04-14,24.3025020789896,V,MA,0.5563129026427767,1.9745391880800123,0
2016-04-15,23.80246880736886,V,MA,0.5563129026427767,1.5068901695046266,0
2016-04-18,24.55787967940184,V,MA,0.5563129026427767,1.8348473561766017,0
2016-04-19,24.13213268409821,V,MA,0.5563129026427767,1.442900323585179,0
2016-04-20,24.158162807916437,V,MA,0.5563129026427767,1.355105234767174,0
2016-04-21,24.012024715476144,V,MA,0.5563129026427767,1.182894677395662,0
2016-04-22,22.496241567443896,V,MA,0.5563129026427767,0.21407918073779528,0
