date,spread,ticker_a,ticker_b,beta,zscore,position,spread_change,gross_pnl,trade,cost,net_pnl,equity
2016-01-04,20.771865971930204,V,MA,0.5563129026427767,,0,,,,,0.0,0.0
2016-01-05,21.20712113745033,V,MA,0.5563129026427767,,0,0.43525516552012533,0.0,0.0,0.0,0.0,0.0
2016-01-06,21.03590622959591,V,MA,0.5563129026427767,,0,-0.17121490785442006,-0.0,0.0,0.0,-0.0,0.0
2016-01-07,20.556606069723145,V,MA,0.5563129026427767,,0,-0.4793001598727642,-0.0,0.0,0.0,-0.0,0.0
2016-01-08,20.62750814023034,V,MA,0.5563129026427767,,0,0.07090207050719499,0.0,0.0,0.0,0.0,0.0
2016-01-11,21.23207412181468,V,MA,0.5563129026427767,,0,0.60456598158434,0.0,0.0,0.0,0.0,0.0
2016-01-12,21.56196145002302,V,MA,0.5563129026427767,,0,0.3298873282083399,0.0,0.0,0.0,0.0,0.0
2016-01-13,21.1981365060021,V,MA,0.5563129026427767,,0,-0.36382494402091936,-0.0,0.0,0.0,-0.0,0.0
2016-01-14,21.052612949818663,V,MA,0.5563129026427767,,0,-0.14552355618343782,-0.0,0.0,0.0,-0.0,0.0
2016-01-15,20.270101404761803,V,MA,0.5563129026427767,,0,-0.7825115450568596,-0.0,0.0,0.0,-0.0,0.0
2016-01-19,21.16470117412075,V,MA,0.5563129026427767,,0,0.8945997693589476,0.0,0.0,0.0,0.0,0.0
2016-01-20,21.07589606363617,V,MA,0.5563129026427767,,0,-0.08880511048458217,-0.0,0.0,0.0,-0.0,0.0
2016-01-21,21.374888668548493,V,MA,0.5563129026427767,,0,0.2989926049123248,0.0,0.0,0.0,0.0,0.0
2016-01-22,21.44951453238965,V,MA,0.5563129026427767,,0,0.0746258638411561,0.0,0.0,0.0,0.0,0.0
2016-01-25,21.20184424571281,V,MA,0.5563129026427767,,0,-0.24767028667683988,-0.0,0.0,0.0,-0.0,0.0
2016-01-26,21.21146791008904,V,MA,0.5563129026427767,,0,0.009623664376231744,0.0,0.0,0.0,0.0,0.0
2016-01-27,21.456934390175967,V,MA,0.5563129026427767,,0,0.2454664800869253,0.0,0.0,0.0,0.0,0.0
2016-01-28,20.712072579007312,V,MA,0.5563129026427767,,0,-0.7448618111686542,-0.0,0.0,0.0,-0.0,0.0
2016-01-29,22.572544556922,V,MA,0.5563129026427767,,0,1.8604719779146883,0.0,0.0,0.0,0.0,0.0
2016-02-01,22.67974769432176,V,MA,0.5563129026427767,,0,0.10720313739976106,0.0,0.0,0.0,0.0,0.0
